Day;p50_inf_sent;p68_inf_sent;p32_inf_sent;p50_inf_fx;p68_inf_fx;p32_inf_fx;p50_inf_i;p68_inf_i;p32_inf_i;p50_e_sent;p68_e_sent;p32_e_sent;p50_e_inf;p68_e_inf;p32_e_inf;p50_e_i;p68_e_i;p32_e_i;p50_s_fx;p68_s_fx;p32_s_fx;p50_s_inf;p68_s_inf;p32_s_inf;p50_s_i;p68_s_i;p32_s_i;p50_i_inf;p68_i_inf;p32_i_inf;p50_i_fx;p68_i_fx;p32_i_fx;p50_i_sent;p68_i_sent;p32_i_sent
44;0.350953633;0.501499763;0.200883672;0.813688244;0.936584416;0.690658265;-0.016566276;0.003174619;-0.0363467;0.280678024;0.376296926;0.186853285;0.061209933;0.096874585;0.025239207;-0.01171935;0.000128098;-0.02392656;0.299749996;0.386825205;0.214180553;-0.032549701;0.005345981;-0.072764406;-0.009365253;0.002822101;-0.022223256;-0.110725767;-0.036999581;-0.182409928;-0.211640745;-0.052693035;-0.373700397;0.097545609;0.299772575;-0.10672851
45;0.357085852;0.50949753;0.205526781;0.829699927;0.953584906;0.705333071;-0.017031682;0.002894922;-0.03686749;0.282887003;0.379247953;0.188260855;0.063580652;0.099587051;0.027266981;-0.011818046;7.23373E-05;-0.024006036;0.300019765;0.387567048;0.214046504;-0.030800831;0.007140473;-0.071149708;-0.009160508;0.002800788;-0.02180141;-0.112783655;-0.039707307;-0.183973549;-0.207952647;-0.050315291;-0.368343666;0.095883817;0.293501787;-0.104573438
46;0.36341597;0.51722929;0.210633396;0.845940434;0.97136123;0.71969008;-0.017397709;0.002618319;-0.037369052;0.285273648;0.382158264;0.190019556;0.066147348;0.102348643;0.029382757;-0.011923305;-1.12124E-05;-0.024081395;0.300032676;0.387378061;0.213864154;-0.029040397;0.009166834;-0.069497652;-0.008992481;0.002701973;-0.021445952;-0.114774404;-0.042240479;-0.185397908;-0.204231175;-0.048784926;-0.363233264;0.092671996;0.287456911;-0.102221749
47;0.369860996;0.524752929;0.215932282;0.861798808;0.989217455;0.733505542;-0.017723665;0.002305788;-0.037850116;0.28724779;0.384382229;0.191729854;0.068629399;0.105049037;0.031475258;-0.012020013;-6.47914E-05;-0.024180699;0.299920901;0.387078327;0.213735483;-0.027318538;0.010936212;-0.067876149;-0.008773876;0.002623531;-0.021083913;-0.116459777;-0.044235124;-0.186823927;-0.201233573;-0.047744651;-0.358451627;0.089952203;0.280765892;-0.100540725
48;0.375728705;0.532864394;0.220516085;0.877647612;1.006288742;0.747580576;-0.018150623;0.002120354;-0.038202002;0.289071129;0.386992255;0.192915067;0.071088557;0.107777636;0.033585208;-0.01212025;-0.000150232;-0.024298972;0.299717871;0.387111763;0.213492936;-0.025476867;0.012549547;-0.066144861;-0.00862088;0.002578217;-0.020656708;-0.118404542;-0.04626976;-0.188031349;-0.198644304;-0.047755109;-0.354601394;0.086880843;0.273775356;-0.099266493
49;0.382174703;0.54094842;0.225128087;0.893512445;1.023736553;0.760955709;-0.018514925;0.001832429;-0.038696576;0.290575674;0.389254823;0.194131347;0.073483664;0.110450793;0.035370446;-0.012165606;-0.000277461;-0.024406658;0.299118425;0.386516669;0.2133529;-0.02374443;0.014123998;-0.064605077;-0.008446385;0.002509426;-0.020270762;-0.119918496;-0.048350689;-0.189161913;-0.196405682;-0.04745699;-0.350625161;0.083977054;0.266597915;-0.098339736
50;0.388054874;0.548319017;0.229925627;0.908435235;1.041137861;0.774508493;-0.018944614;0.001530436;-0.039152165;0.292197797;0.391264484;0.195356623;0.075857634;0.113051726;0.037332536;-0.012260684;-0.000332268;-0.024451677;0.298351019;0.385956593;0.213176434;-0.022071527;0.015861674;-0.063045798;-0.008264485;0.002458164;-0.01985049;-0.121211715;-0.050356047;-0.189957288;-0.194832381;-0.047723092;-0.347359783;0.080264422;0.258967228;-0.097076001
51;0.394223305;0.556048345;0.234281021;0.923081605;1.05786458;0.787749551;-0.019291991;0.001307698;-0.039549002;0.293753786;0.39301054;0.196412347;0.078282298;0.115597035;0.039141442;-0.012325568;-0.000394933;-0.024457929;0.297857681;0.385400194;0.212771942;-0.020367815;0.017409656;-0.061356958;-0.00805967;0.002447092;-0.019474108;-0.122427449;-0.052449596;-0.190344572;-0.192868863;-0.048093667;-0.343149289;0.076346034;0.251658515;-0.096002727
52;0.400172617;0.563405091;0.239141747;0.938254686;1.074169462;0.801319191;-0.019697523;0.001038753;-0.040017853;0.294912881;0.394463142;0.197097912;0.080790112;0.118165165;0.041031145;-0.012410652;-0.00041281;-0.024519499;0.297022254;0.384751139;0.212441632;-0.018844393;0.018992539;-0.059704768;-0.007923339;0.002408719;-0.019128233;-0.123663098;-0.053785568;-0.191172572;-0.191133892;-0.047733368;-0.34089918;0.073017095;0.243125707;-0.095638502
53;0.405700075;0.5701145;0.243051561;0.952630147;1.090486596;0.814113049;-0.020019343;0.00079817;-0.040423205;0.295952607;0.396249004;0.197936006;0.082976094;0.120911329;0.042927082;-0.012471333;-0.000493617;-0.02453765;0.296304071;0.383944503;0.212185652;-0.017347182;0.020495382;-0.058146124;-0.007827981;0.002346661;-0.018779279;-0.124816343;-0.055441017;-0.191708336;-0.189939096;-0.048229743;-0.337658255;0.069861738;0.235048768;-0.094767977
