,inf,e,s,i
2024-03-12,2.7076820090480886,0.6077842592592573,0.5289326566877985,-1.3285999999999998
2024-03-13,2.720806233738425,0.6085888888888871,0.6418224531667942,-1.3285999999999998
2024-03-14,2.731459171210361,0.5658305555555536,0.714991765699477,-1.3285999999999998
2024-03-15,2.732586808508871,0.5230722222222193,0.678929747379797,-1.3285999999999998
2024-03-16,2.7303447763540074,0.5553138888888869,0.6715381535627202,-1.3285999999999998
2024-03-17,2.727706141848201,0.5875555555555536,0.6125845931792453,-1.3285999999999998
2024-03-18,2.7288295618604805,0.6197972222222212,0.2984418559534676,-1.3285999999999998
2024-03-19,2.7372969739832302,0.6520388888888888,0.2629024755804496,-1.0785999999999998
2024-03-20,2.759203791136688,0.6592805555555552,0.3261497077103487,-1.0785999999999998
2024-03-21,2.7727058514313425,0.6665222222222225,0.22142956755549026,-1.0785999999999998
2024-03-22,2.78547637078738,0.6737638888888888,0.19634294611571293,-1.0785999999999998
2024-03-23,2.7975795956610767,0.6810055555555561,0.1082546958328608,-1.0785999999999998
2024-03-24,2.8090989378627267,0.5582472222222226,-0.028581421111377292,-1.0785999999999998
2024-03-25,2.8244210561502574,0.4354888888888899,-0.03736173861529908,-1.0785999999999998
2024-03-26,2.8298257892823035,0.3066383597883604,-0.14442785511720427,-1.0985999999999994
2024-03-27,2.845155588160386,0.17778783068783088,-0.246484792338115,-1.0985999999999994
2024-03-28,2.863691851105414,0.17893730158730214,-0.3324064707693508,-1.0985999999999994
2024-03-29,2.880967964814814,0.21008677248677277,-0.43275295652845863,-1.0985999999999994
2024-03-30,2.8971267617209606,0.2412362433862434,-0.5738652021272038,-1.0985999999999994
2024-03-31,2.912309709072449,0.272385714285714,-0.7526073798856142,-1.118599999999999
2024-04-01,4.10166207075117,0.3035351851851855,-0.7708847755060232,-1.118599999999999
2024-04-02,4.196651561403316,0.33468465608465525,-0.809522652277108,-1.118599999999999
2024-04-03,3.881891788188416,0.36583412698412676,-0.8001151692371916,-1.118599999999999
2024-04-04,3.705356645838541,0.3969835978835974,-0.7225637385363433,-1.118599999999999
