,cpi,ridge,lasso,ada,gbr,rf,et,set,min,max,w_avg,w_avg_best,forecast
2023-12-20,,1.8926351066056541,1.8827113223247391,2.086609923239493,2.021923417848669,2.0108979538122584,2.107921996616336,day,1.8827113223247391,2.107921996616336,1.9764647932446782,1.9464777005147669,1.837758700337017
2023-12-21,,1.655921419929749,1.8758082125410345,2.086609923239493,1.3830807160357752,2.0091671902483648,2.10142931871125,day,1.3830807160357752,2.10142931871125,1.8047652440952358,1.8158691403474798,1.8290997822223851
2023-12-22,,1.7776533002011172,1.8645573657730992,2.067707931940239,1.3743400524074412,1.9958569358744547,2.091718566591114,day,1.3743400524074412,2.091718566591114,1.842524942517077,1.876663089657242,1.8267613057668728
2023-12-23,,1.8067918894444075,1.8741862149228705,2.067707931940239,1.3743400524074412,1.9977051331984217,2.0741472516396646,day,1.3743400524074412,2.0741472516396646,1.8516787741067682,1.8897471859585924,1.8258930702745917
2023-12-24,,1.8025333930494538,1.8733899507383007,2.067707931940239,1.3743400524074412,1.9977051331984217,2.0741472516396646,day,1.3743400524074412,2.0741472516396646,1.849985127331706,1.8872921737788262,1.824919750390211
2023-12-25,,1.7960140403804403,1.8725936865537312,2.067707931940239,1.3743400524074412,1.9977051331984217,2.0741472516396646,day,1.3743400524074412,2.0741472516396646,1.847451180143146,1.8836191108341793,1.8237635219898203
2023-12-26,,1.6654870642281505,1.891296082939116,2.081392290199202,1.3743400524074412,1.97766299763368,2.0737284556422586,day,1.3743400524074412,2.081392290199202,1.8016396134426964,1.8169631725812663,1.8176759659220636
2023-12-27,,1.7676793564283964,1.8902283469354741,2.081392290199202,1.3348833288745519,1.977523161764552,2.0599645361929477,day,1.3348833288745519,2.081392290199202,1.8319681155405245,1.8682340338329058,1.8158242396445203
2023-12-28,,1.6052898614829858,1.8920076431184043,1.9672640273985387,1.314741323298999,1.9882811668219775,2.05993711355774,day,1.314741323298999,2.05993711355774,1.757060805692384,1.7810976800476428,1.8083051547101798
2023-12-29,,2.1268397043119975,1.887238251985166,1.8593148928375047,1.2557275234365446,1.9387923113721461,2.0220941343234777,day,1.2557275234365446,2.1268397043119975,1.9202658749041874,2.0513068173730815,1.8192891046964494
2023-12-30,,2.1153058845286683,1.8869709586245236,1.8593148928375047,1.2557275234365446,1.9387923113721461,2.0220941343234777,day,1.2557275234365446,2.1153058845286683,1.915941840015466,2.04503894707459,1.8291563306908567
2023-12-31,2.1135820621209334,2.103772064745341,1.8867036652638813,1.8593148928375047,1.2557275234365446,1.9439192995340673,2.0220941343234777,day,1.2557275234365446,2.103772064745341,1.9119714018847216,2.0387710767761003,1.8380149027571304
2024-01-01,,2.1625216494040975,2.3319300922646593,1.8593148928375047,1.9761741853823105,1.9770554720140536,1.9157986358236783,day,1.8593148928375047,2.3319300922646593,2.0709507897696473,2.1327152917350727,2.1625216494040975
2024-01-02,,2.041513471668817,2.34067752575898,1.8593148928375047,1.958492432786937,2.0190407682463487,1.928540623360284,day,1.8593148928375047,2.34067752575898,2.030114055711588,2.0725922518668223,2.1020175605364573
2024-01-03,,1.9425343453223072,2.3408510889448557,1.8853360672888144,1.9278821056586954,2.009284673876255,1.9504001253097538,day,1.8853360672888144,2.3408510889448557,1.9956418530155422,2.024972024347193,2.0488564887984073
2024-01-04,,1.7569815116009209,2.3344274297657304,1.8853360672888144,2.022566584518747,1.9887615530427387,1.930523381686595,day,1.7569815116009209,2.3344274297657304,1.932885748076139,1.9185516340498596,1.9758877444990357
2024-01-05,,2.3969727032215697,2.3337181392206743,1.9672640273985387,2.0197068099991613,2.0237949987467023,1.9609133666138785,day,1.9609133666138785,2.3969727032215697,2.187453347656678,2.2710910058646983,2.0601047362435425
2024-01-06,,2.3914071374669907,2.3333436258978772,1.9672640273985387,2.0197068099991613,2.0263376704395366,1.9583290501447912,day,1.9583290501447912,2.3914071374669907,2.1850455139697895,2.267346554708309,2.115321803114117
2024-01-07,,2.3858415717124113,2.33296911257508,1.9672640273985387,2.0197068099991613,2.0263376704395366,1.9608717218376257,day,1.9608717218376257,2.3858415717124113,2.1833798118292584,2.2649320494507306,2.153967484342445
2024-01-08,,2.2996417429211595,2.3325945992522836,1.9672640273985387,2.0479516794018844,2.0172301987183268,1.9593686416244873,day,1.9593686416244873,2.3325945992522836,2.153994665020101,2.2180258475926107,2.1721767666647844
2024-01-09,,1.849872711915679,2.3226953187301387,1.911330049261073,2.043624752674641,2.0126416510167875,1.921723245718247,day,1.849872711915679,2.3226953187301387,1.971488622587535,1.9639465578526287,2.1363652050259945
2024-01-10,,1.8612853382259453,2.331831982628105,1.911330049261073,2.094884201060908,2.0072501762233905,1.9608293618966415,day,1.8612853382259453,2.331831982628105,1.9901665227904113,1.9820835171841191,2.1088572183459897
2024-01-11,,2.044641658958739,2.3568802608466113,1.911330049261073,2.1172274167927103,2.0055164506710614,1.9599218122153732,day,1.911330049261073,2.3568802608466113,2.0643707123182757,2.0856882969919153,2.1030194402198763
2024-01-12,,1.5340164190020706,2.385603834446934,1.9672640273985387,2.1955318631176293,2.0065132451371217,1.973716606966653,day,1.5340164190020706,2.385603834446934,1.8974639274695209,1.8199617104775463,2.055602521785059
2024-01-13,,1.5399851903946962,2.3847319241727143,1.9672640273985387,2.096834154623566,2.0065132451371217,1.9646520888020098,day,1.5399851903946962,2.3847319241727143,1.8853510931696493,1.8206500904168914,2.0159396501396465
2024-01-14,,1.5459539617873217,2.3838600138984942,1.9672640273985387,2.096834154623566,2.0065132451371217,1.9646520888020098,day,1.5459539617873217,2.3838600138984942,1.8874481176325384,1.823689815508017,1.9823692438287661
2024-01-15,,2.0805645554146484,2.400148358832785,2.037125178486443,2.0783753713668114,2.003437523639196,1.9476261977630858,day,1.9476261977630858,2.400148358832785,2.0907413230756546,2.1105858376844955,1.9889155979344915
2024-01-16,,2.2914985349788575,2.4034151526513092,2.037125178486443,2.096504725315366,1.9965560996732332,1.938195502142552,day,1.938195502142552,2.4034151526513092,2.1697447159569396,2.222440913286253,2.0078270314997644
2024-01-17,,2.1776949243008166,2.405977436662819,2.081392290199202,2.207523567315707,2.006689266662929,1.9496062737928086,day,1.9496062737928086,2.405977436662819,2.1497333940764465,2.1646056345527653,2.0178192604880616
2024-01-18,,2.3217360122952657,2.4034518773315634,2.037125178486443,2.1886275103675077,2.010715548906497,1.9419515732638877,day,1.9419515732638877,2.4034518773315634,2.1943861827228575,2.239713288653921,2.034703524477351
2024-01-19,,2.4952923378767755,2.4182154824283657,2.037125178486443,2.1764243339041545,2.004866378130937,1.9532471647500287,day,1.9532471647500287,2.4952923378767755,2.261009856412028,2.3391278803951012,2.0589450409720573
2024-01-20,,2.5099668660344765,2.418716329861093,2.037125178486443,2.1764243339041545,2.011388224602746,1.955789836442863,day,1.955789836442863,2.5099668660344765,2.2674385485173496,2.347794540162348,2.0814961322251784
2024-01-21,,2.524641394192179,2.4192171772938194,2.037125178486443,2.1764243339041545,2.011388224602746,1.955789836442863,day,1.955789836442863,2.524641394192179,2.2729624229658296,2.3558016283286647,2.1025982875569404
